mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020484542846679686,0.003858571833919092,0.0024003505706787108,0.0005012886649927252,5,10,"{'max_depth': 5, 'n_estimators': 10}",1.0,0.96875,0.9375,0.96875,0.9375,0.9625,0.023385358667337132,13
0.036160516738891604,0.0035080074959141097,0.002206087112426758,0.0004016170695602482,5,20,"{'max_depth': 5, 'n_estimators': 20}",1.0,0.96875,0.9375,1.0,1.0,0.98125,0.024999999999999998,5
0.053941869735717775,0.004419693199516812,0.002459001541137695,0.0005541897459286622,5,30,"{'max_depth': 5, 'n_estimators': 30}",1.0,1.0,0.96875,1.0,1.0,0.99375,0.012499999999999999,1
0.08661899566650391,0.013491469903072904,0.0030927181243896483,0.001950625112203219,5,50,"{'max_depth': 5, 'n_estimators': 50}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.017763519287109376,0.003453769794885802,0.0017057895660400391,0.0008678635998408506,10,10,"{'max_depth': 10, 'n_estimators': 10}",1.0,0.96875,0.9375,0.96875,0.9375,0.9625,0.023385358667337132,13
0.041948366165161136,0.012073618945673867,0.0012038230895996093,0.000982918111398506,10,20,"{'max_depth': 10, 'n_estimators': 20}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.05094900131225586,0.005298057149042339,0.0019426345825195312,0.0008416731548604362,10,30,"{'max_depth': 10, 'n_estimators': 30}",1.0,1.0,0.96875,0.96875,1.0,0.9875,0.015309310892394862,2
0.07894201278686523,0.002919774321649436,0.002720022201538086,0.000880770361616855,10,50,"{'max_depth': 10, 'n_estimators': 50}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.01596236228942871,0.0009933729139117715,0.0020145893096923826,1.4036679974929198e-05,15,10,"{'max_depth': 15, 'n_estimators': 10}",1.0,0.96875,0.9375,0.96875,0.9375,0.9625,0.023385358667337132,13
0.030370616912841798,0.000941413583897115,0.0018057823181152344,0.0004000668872379857,15,20,"{'max_depth': 15, 'n_estimators': 20}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.04707722663879395,0.0016676344433792767,0.0019053936004638672,0.00020048801900100465,15,30,"{'max_depth': 15, 'n_estimators': 30}",1.0,1.0,0.96875,0.96875,1.0,0.9875,0.015309310892394862,2
0.08744606971740723,0.010304925182152083,0.0035134315490722655,0.0009000155352993401,15,50,"{'max_depth': 15, 'n_estimators': 50}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.01632094383239746,0.0005005934733020636,0.001605987548828125,0.0008029987721276324,20,10,"{'max_depth': 20, 'n_estimators': 10}",1.0,0.96875,0.9375,0.96875,0.9375,0.9625,0.023385358667337132,13
0.03999042510986328,0.009417773739862523,0.0016131877899169921,0.0008067894684242245,20,20,"{'max_depth': 20, 'n_estimators': 20}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
0.05549764633178711,0.010495339876255337,0.0038512706756591796,0.0031417951986357313,20,30,"{'max_depth': 20, 'n_estimators': 30}",1.0,1.0,0.96875,0.96875,1.0,0.9875,0.015309310892394862,2
0.06571078300476074,0.016615174423207174,0.0028046607971191407,0.0023933528932003063,20,50,"{'max_depth': 20, 'n_estimators': 50}",1.0,1.0,0.9375,0.96875,1.0,0.98125,0.024999999999999998,5
